0:35:3, VER.02.03.00.00: UNKNOWN ERROR:
0:45:57, VER.02.03.00.00: UNKNOWN ERROR:
0:45:57, VER.02.03.00.00: UNKNOWN ERROR:
0:54:36, VER.02.03.00.00: UNKNOWN ERROR:
1:36:55, VER.02.03.00.00: UNKNOWN ERROR:
11:11:15, VER.02.03.00.00: UNKNOWN ERROR:
11:25:16, VER.02.03.00.00: UNKNOWN ERROR:
16:58:0, VER.02.03.00.00: UNKNOWN ERROR:
17:3:21, VER.02.03.00.00: UNKNOWN ERROR:
17:37:5, VER.02.03.00.00: UNKNOWN ERROR:
